name,email,website,source,category,status,notes
GMS Clinic,info@gmsclinic.ru,https://www.gmsclinic.ru,site_parse,клиники,target,основной контакт
GMS Clinic,dental@gmsclinic.ru,https://www.gmsclinic.ru,site_parse,клиники,target,стоматология
Европейский МЦ,info@emcmos.ru,https://www.emcmos.ru,site_parse,клиники,target,общий
Медскан,office@medscangroup.ru,https://medscangroup.ru,site_parse,клиники,target,офис
Медскан,info@medscannet.ru,https://medscannet.ru,site_parse,клиники,target,инфо
Будь Здоров,info@bzklinika.ru,https://klinikabudzdorov.ru,site_parse,клиники,target,основной
К+31,appeal@k31.ru,https://www.k31.ru,site_parse,клиники,target,для обращений
Ниармедик,info@nearmedic.ru,https://www.nearmedic.ru,site_parse,клиники,target,основной
Семейный доктор,mailbox@fdoctor.ru,https://www.fdoctor.ru,site_parse,клиники,target,официальные обращения
Семейный доктор,corp@fdoctor.ru,https://www.fdoctor.ru,site_parse,клиники,target,корпоративное
Семейный доктор,zakupki@fdoctor.ru,https://www.fdoctor.ru,site_parse,клиники,target,закупки
Столица,info@stomed.ru,https://stomed.ru,site_parse,клиники,target,общий
Столица,contact@stomed.ru,https://stomed.ru,site_parse,клиники,target,вопросы
ОТТА,info@ott.ru,https://ott.ru,site_parse,клиники,target,институт
Анадолу,info@anadolu-moscow.ru,https://anadolu-moscow.ru,site_parse,клиники,target,представительство
Авиценна-Медика,avicennamed@mail.ru,https://avicenna-ug.ru,site_parse,поставщики,target,отдел продаж
Матрикс,for@matrix-eng.ru,https://matrix-eng.ru,site_parse,поставщики,target,оборудование
АльмаМед,info@almamed.su,https://almamed.su,site_parse,поставщики,target,дилер
МедСнаб,,https://medsnab.ru,site_parse,поставщики,no_email,только форма связи
АктивМед,,https://aktivmed.ru,site_parse,поставщики,no_email,только форма связи
Тандер Мед,,https://tandermed.ru,site_parse,поставщики,no_email,только форма связи
Медкомплект,,https://medkomplekt.ru,site_parse,поставщики,no_email,только форма связи
Юнимед,partner@unimed.ru,https://unimed.ru,site_parse,поставщики,target,партнёрский отдел
Галилео-Медикс,,https://galileo-med.ru,site_parse,поставщики,no_email,только форма связи
Медикус,,https://medicus.ru,site_parse,поставщики,no_email,только форма связи
Росмед,info@rosmed.ru,https://rosmed.ru,site_parse,тендерные,target,медзакупки
Единая тендерная,,https://etp.ru,site_parse,тендерные,no_email,только форма для организаторов
Сбербанк-АСТ,,https://sberbank-ast.ru,site_parse,тендерные,no_email,госзакупки мед
РТС-Тендер,,https://rts-tender.ru,site_parse,тендерные,no_email,форма
ЭТП ГПБ,,https://etpgpb.ru,site_parse,тендерные,no_email,форма
Telderi,partner@telderi.ru,https://telderi.ru,auction,инвесторы,target,партнёрский отдел
Domainer (пример),domains@investor.ru,https://telderi.ru,auction,инвесторы,target,куплю мед-домены
Nic.ru,support@nic.ru,https://nic.ru,auction,инвесторы,target,аукционы
Domainers.ru,,https://domainers.ru,web_search,инвесторы,no_email,"объявления ""куплю"""
